seed,t_160,t_200,t_240,t_280,t_320,t_360,t_400,t_440,t_480,t_520,t_560,t_600,t_640,t_680,t_720,t_760,t_800,t_840,t_880,t_920,t_960,t_1000,t_1040,t_1080,t_1120,t_1160,t_1200,t_1240,t_1280,t_1320,t_1360,t_1400,t_1440,t_1480,t_1520,t_1560,t_1600,t_1640,t_1680,t_1720,t_1760,t_1800,t_1840,t_1880,t_1920,t_1960,t_2000
1,45.14403856438681,45.78456759262066,46.20332440555091,46.19624276610741,46.24884243739866,46.169001198959194,45.93382881290605,45.57071824396601,45.35414441158137,45.119236437059605,45.46464941940643,45.41606049561266,45.32273650420455,45.20011837720881,44.42605749443598,44.07741039261979,43.84608667877362,43.746310409409475,43.635693035815024,44.12851950024372,44.604412719002205,45.335202972202126,46.05454704249439,46.77001847404147,47.28340291223552,47.42477839116153,47.770863080656504,47.85907637524125,48.002364639120024,47.721076712788914,47.31640488704135,47.680889527077085,47.80941543604853,47.09296991421534,46.49576882998675,45.34782772049394,44.976942010300654,44.690639999799345,44.509277655489846,44.29207970974146,44.04512307217861,44.08765532259779,44.30100668210234,44.36834529401781,44.07918711404221,43.128677482245735,42.897659936687724
2,43.261811502249934,43.68637931268759,44.080994762692654,44.28808024502756,44.673466820572365,45.003796533656946,45.350352780436424,45.22265723928696,45.037683132393774,45.17552726964763,45.16297790918525,45.042538432950685,44.695286553042,44.16162136431454,43.876652014256656,43.69974211673195,43.77397113185588,43.779204925066814,43.87722099334588,44.08756589587507,44.268529138238875,44.195505961557586,44.30934616353754,44.46554352115474,44.593370657859765,44.59249439958029,44.57905820395859,44.62286889960443,44.608120956781946,44.99187916964953,45.1547168190479,45.43938771679811,45.44438963111544,45.59827858115771,45.30660257438001,44.887255083582055,44.42269892816055,44.059746714114986,43.51167502671437,43.226477834559226,42.681314036411116,42.169980566429984,41.88719544404209,41.695034272817274,41.81526722196254,42.12293201084912,42.362954386547855
3,43.71414339891644,43.575058110870536,43.7702834430196,43.51041360286552,43.592225481724604,43.56736758147471,43.55898563206611,43.649000828722215,43.945236379486346,44.3187252181204,44.54018292862556,44.70694272991476,44.8285987949166,45.04138731847867,45.08715696328375,44.95350997436546,44.64651229083539,44.44719554285822,44.1069020722388,43.90926964120174,43.750511071153014,43.723648611172116,43.76365549548831,44.078683139294,44.21119517664068,44.43693396386205,45.018026174856935,45.28562967344629,45.419000523254184,45.59622078892283,45.80618458233902,45.424156081896136,45.0728750789295,44.7128245912507,44.58626914059724,44.182577215675195,43.818283855260816,44.13175120944714,44.278029529761184,44.29980952346259,44.89681760779168,45.3577649271714,45.98992138102502,46.63718580995965,46.80074591153694,47.35089117306714,47.196865753556615
4,42.16768210763158,42.812324561054716,43.06747043718702,43.4926713336793,43.446797515677304,43.88979430397651,44.19607905934223,44.50751824392806,44.63516944584699,44.97345907871057,45.23469745260143,45.06865697844566,44.96248246779696,44.51752831634793,44.52446820547292,44.33375741286518,44.300573258923755,44.37614314543216,44.73742282240654,45.033613960512504,44.94226131983066,44.9057936016402,44.900192467002356,44.40653067085987,44.19343844115463,43.78556613200916,43.82565371293832,43.804813828683656,44.17974451308552,45.090763802304735,45.52937651888427,45.76364933258482,45.65458912304603,45.7321381579279,45.30476681432851,44.810117593421516,44.05474281962929,43.267480666709325,42.829798698885796,42.19482528814663,41.98599879754258,42.07139649066365,42.16107363971185,42.29987411445048,43.00345098949348,43.14824184699416,43.58495286874799
5,46.151248364524434,45.69047867785901,46.10489857915905,46.38353220763465,47.0293593278096,47.53532784598748,47.823353220088215,47.70884837295074,47.629317420758476,47.50283740998357,47.11020941768763,46.67104787574447,46.45661637703844,46.25129845574958,45.99966505849762,45.88877524200854,45.68273585327923,45.22230111110315,44.7074987428095,44.29742628867132,43.784535807274715,43.589537029366454,43.770950799422415,43.77585999226232,44.71294400473106,45.55674168576346,46.80483582577078,47.052486869957065,46.975421775010894,46.7829698676856,46.3140546379146,46.035748101197655,45.84670255120993,46.36609405073316,46.17251363544543,45.75201492385277,45.28561063810045,44.437319397062545,43.48362071716931,42.45166427364687,41.59585297377754,40.71905648437367,40.11135793899306,40.33777184211858,40.843673409513656,41.753213453529604,42.45895521925917
6,41.47814580003159,42.93519322674389,44.079728880674594,45.01377296669757,45.8627634755025,46.30634128733407,47.04416481135879,47.28695320733073,47.48209535681304,47.177832296385056,46.91827686065472,46.31193610456722,45.413235256604885,44.74513705346733,44.591730539379306,44.36836353828045,44.02369936582425,43.72082034271188,43.567231280981154,43.51048282035718,43.60883727688775,43.702950155215674,43.88308259031072,43.76047035572735,43.735188944136226,43.72238166888899,44.055100793454436,44.497880867264854,44.97494819014976,45.13360497162259,44.78882561342556,44.26627513604831,43.69481222462818,43.44714888046592,43.140949774811624,42.91707986009378,42.884819672700885,43.077222194126314,43.2128071659784,43.534373287156704,44.01231045415337,44.266283826080475,44.02692389905984,44.264784963822336,43.977870629236314,43.63661244958528,43.10285473783637
7,41.70379326469196,41.476085651044606,41.66002984044731,41.86883530989617,42.38326436607627,42.84106051045185,43.20990773402954,43.55668627911842,43.808773540253775,44.19519673989339,44.50209936245646,44.91567530430321,45.20463135248501,45.29470003641321,45.312879579829485,44.98185338123484,44.55554964624912,44.49990249050108,44.28145565486389,44.21216960842519,44.34733383344647,44.71634202496695,45.1985917013148,45.31216979527698,45.31309102869106,45.56750535103951,45.58625308218834,45.60222842999419,45.58821313219396,45.58815784642939,45.50011464669092,45.180373221270095,44.463203081752496,43.92869382453504,43.81777218143296,43.626213490784934,43.74501243798404,43.661973114487395,43.733378285016,43.66663185426149,43.630377012087294,43.641593266013786,43.30795188083121,43.32660574296475,43.04329985507496,42.87208096532013,42.45739366156461
8,43.539208304308154,44.12921095554474,44.55341560569376,44.87674779619623,45.07946157571249,45.17251942579186,45.13008147293633,45.144480268509234,45.0169142765118,44.63251689314432,44.84930121721239,45.22952970573162,45.35544607324766,45.763033826075386,45.7236794919671,46.290201552226655,46.40130347712943,46.02070994098035,46.088259996304984,45.88392322156642,45.89350428014299,45.75949768675473,45.66779215030955,45.89024140451716,45.62021828378644,45.293139648894076,44.91072882290866,44.9354106412758,44.64439227167152,44.44728851121183,44.22360482007073,43.95122191856354,43.95039463959413,43.867984658302724,43.61452831907024,43.17392892670897,42.876603784934325,42.11543326837045,41.87895412804841,42.11239867419557,42.24408869497036,42.73121174249358,43.257034142058295,43.569005588453805,43.951868523671145,44.03087924190821,44.288350795518106
9,38.90320877834241,42.004306738346884,43.554806962269915,44.910361003687775,46.22135925772414,47.13698313176652,47.841776811999125,47.42007027773545,46.72213130554951,45.90557302347902,45.539940076546685,45.290598708358466,45.878979919404564,46.497317800757315,46.90490334067104,47.151657643990006,46.96173319995127,46.75628043004387,46.571889601610145,46.38528159882923,46.11141026683379,45.917329534563365,46.128239731236796,45.36228937708629,44.46057305550052,43.565311716431616,42.89240611111947,42.65793181987957,42.80096817441058,42.99898768643736,42.347216183973515,41.98286649363343,41.60021349356636,40.894838429340254,40.312324733967344,40.405305061265665,41.69752179717239,43.746408129666065,43.60806498186937,43.86163553674268,44.413224353389985,45.0474641344873,45.04122565804794,45.57114726989384,45.6751611244302,46.20816485548832,45.824954731832094
10,39.25761033741708,40.35354939987,41.057006300734926,41.678859053977824,42.310973655763334,42.48822694654984,42.51416470663929,42.484337664497964,42.4860167518479,42.50454017935483,42.728908148885154,42.72890772409536,43.0247574162027,43.62866516758544,44.00919556632626,44.32072689893734,44.39957587427127,44.25152265384264,44.18617433595046,44.315678990902974,44.11749143879796,44.24664342658823,44.24971323205728,44.39051276738863,44.933083561661185,45.45122442059662,45.65523605432278,46.10511371287643,45.688514137729975,45.603311624384084,45.273732523013386,44.92749705662218,43.742165168762284,43.09191303393881,41.76922401144441,41.45722309863072,41.892297459187915,42.48826196562236,43.0754740297141,43.799812143585406,44.508097493019584,45.12284484168789,45.09218282309824,44.71727598060215,43.78488460177153,42.85130108577889,42.16263314209223
11,42.8794367110446,42.914145529563505,42.901137742085226,43.02453020042991,42.98768031836735,42.99356974712868,42.904136083840015,42.74255783465562,42.52425344254808,42.244131320013665,41.806444178062826,41.674879141162414,41.49065749407657,41.49358610368383,41.43640927645593,41.64118639459014,41.88098846798982,42.233535816599705,42.45507432184744,42.74389110966181,43.0455376609533,43.40161315404842,43.763231910676645,44.06738248944133,43.958940992037846,43.86156661617016,43.6341591533519,43.44601544018693,43.42981220251096,43.278402822007685,43.239094569605555,43.49669210532809,43.681148111228154,43.72899164276202,43.92955759127805,43.7370285009112,43.61617045551097,43.73887740172853,43.92727749773612,44.261077133014794,44.331515210446995,44.52109594111666,44.21421671426461,43.96498378801569,43.90607667101222,43.61026208817994,43.21573745647045
12,41.364155644668685,42.11235154131159,41.84843134370138,41.82935384125275,42.170956666904225,42.65261911144565,43.131416919402675,43.440194455926886,44.14781894692401,44.8436344460556,45.13767704159301,45.04535863105185,45.316301491660454,45.52694721727903,45.29780787827734,45.35116846220153,45.35689120241701,45.617041650143065,46.0559751113932,45.997180132508525,46.192254313485215,45.828320857044964,45.68387653771228,45.65689065705999,45.33119521457879,45.111602965851965,44.24110235444963,43.63571085108882,43.59061326781534,43.929173408382496,44.737238752559286,45.32820730775373,45.62100205142221,45.72010459896947,45.63738765640852,44.38957033849917,43.0551259829479,41.59295433476561,41.34031590340299,41.69524315133786,42.499734017714175,43.27741763885761,44.24055068377858,44.853877059317966,44.57578085253318,44.166669430323545,43.87456053363093
13,40.9508688051097,42.19158314588168,42.60522350286565,43.1081425475807,43.501758715524744,43.79797169804937,44.10520316561574,44.0189953264634,43.88739515987466,43.970471405435525,43.967067894317964,44.01368564690923,44.22687247923485,44.279588912449015,44.24230650705469,44.31890707043695,44.49919422059907,44.64313141220751,44.739555090308585,45.06946546687003,45.20629373288483,45.34658226938064,45.21112676196265,45.0698389501808,45.21953857793095,45.159297304688195,45.397345472778795,45.43037702134947,45.29190413701046,45.6313474462445,45.77631089520399,45.55989675725642,45.139852101897866,44.95288241291607,44.88314127403998,44.95752137003258,45.06682838093017,44.92604120417042,45.01417588252024,44.75304036290217,44.82071367189587,44.39999733752754,43.76708753777627,43.547960528947684,43.15979612523752,43.3493487112994,43.196640901901375
14,43.72761319357195,43.75180714271374,43.80793546858406,43.76279182346711,43.78390518428698,43.79774944515986,43.90733502495441,43.888090498382816,44.01865884137212,44.123472082809016,44.07905119357718,44.273210129812014,44.27649668678485,44.232935061658175,44.496338183089215,44.55204638294615,44.53665000802974,44.74773681665509,44.777819800532335,44.79904986590649,44.751499097492236,44.8907370956149,44.993157797795625,44.984174017519955,44.964474151778234,44.67569339587421,44.56003651383626,44.05326455998719,44.057723600530316,43.83976136389667,43.49639246457428,43.51579633535836,43.2574165825367,43.07064401584563,42.99344669967326,42.98085088019202,42.87531883160024,42.68189622495561,42.47588568237537,42.65406472501432,42.54058775144891,42.727979502186614,42.74343725055475,43.05362839791776,42.80952306951099,43.11744828951107,43.259213603172824
15,42.4853641489288,43.65767562123756,44.00066187528798,44.161639135259335,44.22291134748415,44.4124497597268,44.807328105499515,44.76926939261944,44.54572388083062,44.35389161067775,44.716510658192085,44.913158775467075,45.28502650542316,45.88363989964608,46.40901456719582,46.53312279616271,46.46292938578287,46.444902227280124,46.367873795979925,46.24992574467248,46.26250566410366,45.908307281259845,45.793223353465024,45.73285848850559,45.79441090888966,45.69122348104686,45.65612839788308,45.958641202985184,45.83442856049572,46.29265712117452,46.81991517336028,47.00632218663914,47.59771632600963,47.41927445527465,47.22794403879823,46.902299083754265,46.34475330590314,45.73188892083095,45.22490898327284,44.63443095556495,44.09118167600005,43.52113927795637,43.314575631481155,43.02804305033149,43.34647549748177,43.514259100335835,43.653649631593204
16,45.49862301050582,45.182447924794396,44.9241016989848,45.069595124955214,44.813786986213415,44.3432744252284,44.53883216292145,44.82624575084559,45.062732411809435,45.368797509624706,45.501859053033286,45.721888920016085,45.80350596411508,46.10856492174082,45.829703847325945,45.23921290682842,44.9453424943106,44.88254844841586,44.90167338619949,44.642848958805615,44.60525969488085,44.74796282519551,44.43274556444667,44.15112149995187,44.0495624810264,43.53166371319155,42.94838721239899,43.01112526552061,43.25298590588381,43.00920463130173,42.77921150589435,43.09148523790145,42.89546637246585,42.779928395164625,42.35026898324417,42.106469584732416,42.10817534579543,42.56590777410845,43.10948936285125,43.11403351040395,43.40796527643937,43.74842092181297,44.0216136857705,43.8642771409484,43.86431676453857,43.108607594142676,42.652235484121285
17,39.421136546079076,41.52544977923228,43.15418194047962,43.84825820418974,44.554572932803744,44.77527407235202,44.77963695485456,44.34824528897299,43.77082667110959,43.64925034837782,43.15306230183527,43.180668542558514,44.17633141875539,44.96377531201104,45.995919019262466,46.23394266187929,46.91315149149113,46.84606252625341,46.377251077600576,46.60813547141552,46.640319432384935,47.32136322945074,47.128090429191936,47.438150961102494,48.17244183602294,47.28365135448398,46.45299296148952,44.88856294848225,44.08482847388565,43.62902834979462,43.21246366051258,43.86451755844719,44.040872187728084,44.42327635695788,43.46217582641835,42.51657198841791,42.09022337952705,42.109123797388534,42.88094961737482,43.54829085324208,42.93055847228622,42.00094430989175,41.48587675970306,41.51594972651479,40.15288446888384,40.3051527905398,42.06020212077738
