seed,mise
1,2.4115307973672673
2,0.9327284949138936
3,1.5006629055159606
4,0.9687837335215284
5,3.65725390256172
6,1.407290865140311
7,1.158467157561568
8,0.7981378751214364
9,4.002085340105062
10,3.2510747241929403
11,3.6738607518965107
12,1.7065879779286572
13,0.7363736874610186
14,0.9948505139743762
15,1.4831620336895224
16,1.406909545053498
17,3.2454483503165243
18,1.194778575407053
19,1.3994902443100192
20,2.071332728200415
21,2.878839245107579
22,6.975098143063126
23,1.9568085128361155
24,0.41796118915462777
25,0.9637627392647447
26,1.1277809790980344
27,1.448242518118443
28,2.589310557733433
29,1.0682154079150221
30,1.8585000982949715
31,1.776264291334679
32,0.6714772590481792
33,1.766339254682244
34,4.202067915740439
35,2.1882067652859685
36,2.385966208869814
37,1.0449119586656943
38,1.0556320599503586
39,0.9590237361032047
40,1.3514906463377818
41,0.21639909411952737
42,1.4054622307535332
43,1.0614732523511239
44,3.631672450709014
45,0.9962352243735361
46,1.5572678003086542
47,3.3503717962183917
48,2.0951398209390253
49,2.515646682016291
50,1.325180034621117
mean,1.8968311615450792
se,0.17384235511637866
