seed,t_160,t_200,t_240,t_280,t_320,t_360,t_400,t_440,t_480,t_520,t_560,t_600,t_640,t_680,t_720,t_760,t_800,t_840,t_880,t_920,t_960,t_1000,t_1040,t_1080,t_1120,t_1160,t_1200,t_1240,t_1280,t_1320,t_1360,t_1400,t_1440,t_1480,t_1520,t_1560,t_1600,t_1640,t_1680,t_1720,t_1760,t_1800,t_1840,t_1880,t_1920,t_1960,t_2000
1,44.63868042942094,45.25762239854795,45.63291103311269,46.05418994640637,46.058846698075186,45.892443610378024,45.648571377259486,45.306644367618176,44.899541793939186,45.01503138101079,45.03375395987105,44.753162801891456,44.78306974061594,44.615981493785014,44.153018550489016,43.86915279114054,43.619502616213516,43.64774907397016,44.026528934858476,44.64030582644594,45.60661719262532,46.658078493562044,48.310119202893816,49.53700319822382,50.02074217985046,49.60822054551404,49.653758186261726,49.859763772695075,49.511237942901396,48.97529557741272,48.18551151188471,48.16675798732208,48.13790655123913,47.638749953623254,46.210352229955035,44.97492201891017,44.66665884342087,44.040982661146344,43.72473355434876,43.47759138250974,43.37910349206969,43.885279845554756,44.090539977929346,44.287349344796056,44.049060339310785,44.057456987112076,43.554997170937064
mean,44.63868042942094,45.25762239854795,45.63291103311269,46.05418994640637,46.058846698075186,45.892443610378024,45.648571377259486,45.306644367618176,44.899541793939186,45.01503138101079,45.03375395987105,44.753162801891456,44.78306974061594,44.615981493785014,44.153018550489016,43.86915279114054,43.619502616213516,43.64774907397016,44.026528934858476,44.64030582644594,45.60661719262532,46.658078493562044,48.310119202893816,49.53700319822382,50.02074217985046,49.60822054551404,49.653758186261726,49.859763772695075,49.511237942901396,48.97529557741272,48.18551151188471,48.16675798732208,48.13790655123913,47.638749953623254,46.210352229955035,44.97492201891017,44.66665884342087,44.040982661146344,43.72473355434876,43.47759138250974,43.37910349206969,43.885279845554756,44.090539977929346,44.287349344796056,44.049060339310785,44.057456987112076,43.554997170937064
se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
