seed,mise
1,6.011389306664083
2,1.6835055982751213
3,1.5545781221948218
4,1.1652786858954418
5,4.698762481787853
6,2.0589578097911043
7,2.8756742925500456
8,0.5454806336654879
9,5.569838537940003
10,5.205517714021112
11,3.2934561765940504
12,1.5038951753933139
13,2.938836847447516
14,2.324500267073716
15,2.1538636515521596
16,1.6347899641878851
17,5.960885833314335
18,1.9448771619868548
19,2.8523337329835954
20,2.656782349235367
21,5.520590275504964
22,7.299652727791648
23,3.6613050902965756
24,0.6867614235196797
25,2.2556756109157052
26,5.447005037373314
27,0.9054540008265101
28,5.667198567482339
29,2.858038038260342
30,2.20080983395485
31,3.439309393569274
32,2.1567853797544503
33,3.1044865600360825
34,3.463716429868394
35,4.216669090327495
36,2.485794854053299
37,0.6301763684228007
38,0.9509034855559378
39,3.051628242549414
40,2.9054661006045284
41,0.482806108466921
42,3.928314082372955
43,1.2549346250748046
44,4.687254251707666
45,1.901632199763989
46,1.2812763755889505
47,2.4231273088344927
48,2.772501433471577
49,4.300896865211182
50,2.041181898905764
mean,2.9322911200523953
se,0.23471222300128158
