seed,mise
1,5.621778417873193
2,1.5704938682064562
3,0.9602435910284818
4,0.7860707596498567
5,3.279594130079826
6,1.9582123865313736
7,1.5922725144916616
8,0.8290795765684769
9,4.274960120862722
10,4.294940102566769
11,2.7868697212171503
12,0.45395082285205995
13,1.2184297377558744
14,2.495815747145639
15,1.55003081153871
16,1.1923804307277803
17,4.00803667855834
18,1.3400862126231798
19,2.544269600101049
20,3.3380642628514567
21,6.044621581070166
22,10.14104677416906
23,3.428127637079526
24,0.7593883537036361
25,4.428478062176771
26,1.3119003894778822
27,3.5946026172864403
28,4.985665047569657
29,2.757066760947188
30,3.2899533531973923
31,1.674026606293938
32,1.729488142731093
33,2.8834135620166457
34,3.0304315304309806
35,3.153239351140896
36,1.3177801016717838
37,0.1442554735822213
38,0.5143222116294961
39,1.922820798515875
40,1.9510188263419628
41,0.24691147915530612
42,2.1260774938645923
43,0.7313445913340946
44,5.572460686321864
45,1.813925648019216
46,1.1865501037345418
47,2.880874403822636
48,3.0325718309240712
49,2.6254958679131395
50,1.8076413303120091
mean,2.543621602193283
se,0.2572679649669204
