t,h_hat_seed_0,h_hat_seed_1,h_hat_seed_2,h_hat_seed_3,h_hat_seed_4,h_hat_seed_5,h_hat_seed_6,h_hat_seed_7,h_hat_seed_8,h_hat_seed_9,h_hat_seed_10,h_hat_seed_11,h_hat_seed_12,h_hat_seed_13,h_hat_seed_14,h_hat_seed_15,h_hat_seed_16,h_hat_seed_17,h_hat_seed_18,h_hat_seed_19,h_hat_seed_20,h_hat_seed_21,h_hat_seed_22,h_hat_seed_23,h_hat_seed_24,h_hat_seed_25,h_hat_seed_26,h_hat_seed_27,h_hat_seed_28,h_hat_seed_29,h_hat_seed_30,h_hat_seed_31,h_hat_seed_32,h_hat_seed_33,h_hat_seed_34,h_hat_seed_35,h_hat_seed_36,h_hat_seed_37,h_hat_seed_38,h_hat_seed_39,h_hat_seed_40,h_hat_seed_41,h_hat_seed_42,h_hat_seed_43,h_hat_seed_44,h_hat_seed_45,h_hat_seed_46,h_hat_seed_47,h_hat_seed_48,h_hat_seed_49,h_hat_seed_50,h_hat_seed_51,h_hat_seed_52,h_hat_seed_53,h_hat_seed_54,h_hat_seed_55,h_hat_seed_56,h_hat_seed_57,h_hat_seed_58,h_hat_seed_59,h_hat_seed_60,h_hat_seed_61,h_hat_seed_62,h_hat_seed_63,h_hat_seed_64,h_hat_seed_65,h_hat_seed_66,h_hat_seed_67,h_hat_seed_68,h_hat_seed_69,h_hat_seed_70,h_hat_seed_71,h_hat_seed_72,h_hat_seed_73,h_hat_seed_74,h_hat_seed_75,h_hat_seed_76,h_hat_seed_77,h_hat_seed_78,h_hat_seed_79,h_hat_seed_80,h_hat_seed_81,h_hat_seed_82,h_hat_seed_83,h_hat_seed_84,h_hat_seed_85,h_hat_seed_86,h_hat_seed_87,h_hat_seed_88,h_hat_seed_89,h_hat_seed_90,h_hat_seed_91,h_hat_seed_92,h_hat_seed_93,h_hat_seed_94,h_hat_seed_95,h_hat_seed_96,h_hat_seed_97,h_hat_seed_98,h_hat_seed_99,mean_h_hat,se_h_hat,h_star
-3.141592653589793,-0.521480944818768,-0.896352360307022,-0.7400449628936044,-0.7335214751418648,-0.774063996732764,-0.8510424017646131,-0.7297676149893666,-0.5304464277462281,-0.7817442019253569,-0.7562562376383309,-0.7316028040810695,-0.7603062932005901,-0.7837666067125405,-0.6305847437393306,-0.8792315514204556,-0.7421308353182889,-0.7690768968685245,-0.743878465247311,-0.7982594344613988,-0.7149696842965141,-0.8185873723032461,-0.8556220916591198,-0.5570407099067167,-0.6367060156000748,-0.6148515750432431,-0.770340722135046,-0.7782913179203699,-0.8354869605150812,-0.6545762666288242,-0.9157581945191503,-0.5794152839456366,-0.6595593021970607,-0.6382682844165775,-0.6994618272398722,-0.5557823641494197,-0.8252521365017048,-0.4258973020268987,-0.9239444880440335,-0.7348329213169129,-0.6953071095948384,-0.8111340008868506,-0.7478418900712823,-0.8717327023377629,-0.9288338935356306,-0.7330699321710976,-0.7989920474798682,-0.8752755848099127,-0.6498110258757677,-0.6721451691380933,-0.7941323247026344,-0.5237229312982303,-0.704633127356792,-0.828174078506285,-0.715699536121329,-0.8045120254106232,-0.5221969419259419,-0.5858852086084994,-0.7536792871282914,-0.7348937946951726,-0.6834632280560622,-0.7621330199083395,-0.7726253313255547,-0.7249314408723384,-0.771442318440573,-0.9072241484283631,-0.6587577446334444,-0.6463594301887802,-0.7736947090918771,-0.8307967297566462,-0.7701199862319626,-0.6079813618219605,-0.4886197655021376,-0.9719436467639022,-0.8132826304835776,-0.6294752559805998,-0.5256498068096465,-0.6464201180500038,-0.8216532103883537,-0.8257272286704262,-0.8031587164092443,-0.9688624468831583,-0.7356249795525472,-0.7271190666078866,-0.7487385104204175,-0.7966488168309005,-0.8019800694046578,-0.6348637587361124,-0.706838733279247,-0.595925400513873,-0.8484596073761524,-0.7602463610241618,-0.8584682731127987,-0.7345970048131876,-0.6178488914555027,-0.6580287829307699,-0.3614086017231864,-0.7363282095999214,-0.6807303100516808,-0.3044299404356554,-0.49687244376272904,-0.723093557233562,0.012467670181382425,0.0016453059204081307
-3.1353031788078316,-0.5217331414993509,-0.8960219907949445,-0.7411840162139147,-0.7335466776897712,-0.7753822193167341,-0.8510286987554696,-0.7307639937355924,-0.5315628577170359,-0.7821790990508923,-0.7564550177203185,-0.7318818293734219,-0.7607209987532003,-0.7840790610854873,-0.6312528764737978,-0.8794263909102851,-0.7420591196653165,-0.7699096242634268,-0.7440233473277785,-0.7984668677724444,-0.7153055933687069,-0.8188718253681119,-0.8564188176957496,-0.558817400763171,-0.6366715262842185,-0.6162038732586995,-0.77046087143617,-0.7782497631904737,-0.8354684897728197,-0.6557561768128778,-0.9164358451399598,-0.5810731733645399,-0.6603910981345363,-0.6393603613660916,-0.6996637992920146,-0.5567382861895294,-0.8252263735265222,-0.4272271260248674,-0.924106695034743,-0.7344901453495402,-0.6964482511542524,-0.8111682590201681,-0.7482161073954958,-0.8717624601015165,-0.9286974639812828,-0.7346721287223125,-0.7983854413277335,-0.8749660090490996,-0.6503196554286991,-0.6731778008630505,-0.7947555388404006,-0.5255620233472656,-0.7060484408114825,-0.8283274090398768,-0.7160954139230873,-0.8045365979526523,-0.5236202863443232,-0.5864489166596925,-0.7539746809697946,-0.73569834380874,-0.6855208644325235,-0.7627403825695025,-0.7732069757902081,-0.7255614672650028,-0.77197623932589,-0.9077536846076107,-0.6589227187377827,-0.6460058615760129,-0.7735253582210678,-0.8314023959983793,-0.770337006980528,-0.6088878602291703,-0.4894027917933022,-0.9718611874693259,-0.8133900201126341,-0.6307496027542309,-0.5274585051630134,-0.6473353782197696,-0.821517052780911,-0.8267594126595422,-0.803766941562771,-0.9692567573307256,-0.7362146404789023,-0.7274163858478214,-0.7488305956520521,-0.7978782276635725,-0.8021515527775401,-0.6361708762340187,-0.7079349420964189,-0.5978577408613209,-0.848896566447289,-0.7609837330456968,-0.8589309543845154,-0.734980342988904,-0.6189621635480821,-0.6589689163065038,-0.3626533820732882,-0.7371604698224649,-0.6820463613843916,-0.3064577033715363,-0.49720962957573045,-0.723705399483734,0.012432573642380974,-0.004654475437530527
-3.12901370402587,-0.5219816740316792,-0.8956849944645722,-0.7423203703386526,-0.7335662698420096,-0.7766973470537814,-0.8510086753961311,-0.7317575564903344,-0.5326789801025468,-0.7826088104744028,-0.7566480959066519,-0.7321566774739124,-0.7611309876175416,-0.7843864634834706,-0.631918170444708,-0.8796153281321577,-0.7419820568668808,-0.7707383894445431,-0.7441628033486803,-0.7986686051164665,-0.7156371122162948,-0.8191502491976462,-0.8572116310535796,-0.5605954722097762,-0.6366327003467876,-0.6175548657461899,-0.770575421513376,-0.7782023212827491,-0.8354436626285807,-0.6569330823554286,-0.9171085884073602,-0.5827304792714806,-0.6612204755765427,-0.6404519857712853,-0.6998610882471664,-0.5576926769989532,-0.825193689642905,-0.4285615742730456,-0.924262443155804,-0.7341408810288497,-0.6975873677164098,-0.8111965014125322,-0.7485850563778902,-0.8717866683966888,-0.9285547438948649,-0.7362721092644837,-0.7977713772850556,-0.8746493219355634,-0.6508251446582843,-0.6742087052217689,-0.7953752018422726,-0.5273985247312819,-0.7074575331113823,-0.8284753028360115,-0.7164893992333264,-0.8045548393100543,-0.5250449245364363,-0.587009749154759,-0.7542659428567943,-0.7364987212058757,-0.6875803270243452,-0.7633428005235725,-0.7737835329164497,-0.7261879744582375,-0.7725046797204761,-0.9082777349275207,-0.6590825210052436,-0.6456459306707756,-0.7733492488787846,-0.8320043149765962,-0.7705485375306403,-0.6097932054703217,-0.4901865110354614,-0.9717716092298306,-0.8134922183892342,-0.63202221940161,-0.5292668131482299,-0.6482508688681453,-0.8213764623534286,-0.8277861990016115,-0.8043708780055555,-0.969643746028105,-0.7368011313562124,-0.7277094990824021,-0.7489176666447835,-0.7991066880521066,-0.8023169469082404,-0.6374764332518253,-0.7090255491314843,-0.5997868345853145,-0.849329700474306,-0.7617173949809953,-0.8593885693670226,-0.7353601556862557,-0.6200739828780996,-0.6599076625197174,-0.36390488969727885,-0.7379887106073051,-0.6833601417110595,-0.3084845289352637,-0.4975454603094257,-0.7243135007167794,0.012397467481652066,-0.010954007592733492
-3.1227242292439086,-0.5222265114494681,-0.8953413650588399,-0.7434539812539165,-0.7335802350248712,-0.77800932894686,-0.8509823102223154,-0.7327482704117667,-0.5337947596410816,-0.78303330543239,-0.7568354484557367,-0.732427334404525,-0.7615362343392724,-0.7846887925380865,-0.6325805903337689,-0.8797983365177594,-0.7418996326657012,-0.7715631577628371,-0.744296809556334,-0.7988646211628191,-0.7159642201724852,-0.8194226116242328,-0.8580005075188867,-0.5623748768412921,-0.6365895238987144,-0.6189045048390419,-0.7706843519170573,-0.7781489788309487,-0.8354124579102635,-0.658106927815196,-0.9177763970095939,-0.5843871517760256,-0.6620473957948048,-0.6415431209498413,-0.7000536724682972,-0.5586455053020113,-0.8251540619102125,-0.4299006306483232,-0.9244117086370056,-0.7337851171408729,-0.6987244271267321,-0.8112187103694676,-0.7489487072459816,-0.8718053163694813,-0.9284057213686155,-0.7378698102791886,-0.7971498470236479,-0.874325509979159,-0.6513274704077644,-0.6752378385512252,-0.7959912913467619,-0.5292323596796016,-0.7088603318243648,-0.8286177410362365,-0.7168814834741837,-0.804566726402278,-0.5264708209682325,-0.5875676783049673,-0.7545530515787753,-0.73729488897287,-0.6896415535712551,-0.7639402378980611,-0.7743549668458523,-0.726810926158391,-0.7730276013476721,-0.9087962630646124,-0.6592371284580387,-0.6452796224037839,-0.7731663616643629,-0.832602461276048,-0.7707545509858792,-0.6106973697045911,-0.49097090183903586,-0.9716748930561622,-0.8135892004524119,-0.6332930606534354,-0.531074668597465,-0.6491665700088601,-0.8212314332127099,-0.8288075360286068,-0.8049704912121753,-0.97002337631646,-0.7373844254091146,-0.7279983879136682,-0.7489996955041779,-0.8003341498333405,-0.8024762272846735,-0.6387803889052971,-0.710110481203983,-0.6017126025300666,-0.8497589801371421,-0.7624473152197414,-0.859841087928351,-0.735736419515286,-0.6211843190221366,-0.6608449935703427,-0.3651631206163664,-0.7388128918471453,-0.6846716082676257,-0.31051037040300716,-0.4978799435387611,-0.7249178306389906,0.012362354687659413,-0.017253041352322886
-3.116434754461947,-0.522467622172017,-0.8949910966434845,-0.7445848036173716,-0.7335885567469614,-0.7793181132961937,-0.8509495819176937,-0.7337361023402287,-0.5349101606946192,-0.7834525531794746,-0.7570170516233812,-0.7326937859244546,-0.7619367134458285,-0.7849860268044904,-0.6332400998590836,-0.8799753893107709,-0.7418118317485168,-0.7723838942338231,-0.7444253421274071,-0.7990548905750767,-0.7162868969619164,-0.8196888803079013,-0.8587854214026148,-0.5641555656392747,-0.6365419830703286,-0.6202527426257147,-0.7707876420268085,-0.7780897225665548,-0.8353748545504011,-0.6592776573847179,-0.9184392435505886,-0.5860431396693419,-0.6628718188710035,-0.6426337299522209,-0.7002415301342296,-0.5595967391333209,-0.8251074674225338,-0.4312442781125918,-0.9245544675396739,-0.7334228425859096,-0.6998593957947076,-0.8112348682061479,-0.7493070301553936,-0.8718183931059686,-0.9282503845454938,-0.7394651675833891,-0.7965208424572874,-0.8739945597857817,-0.6518266095578084,-0.6762651566551368,-0.7966037852181767,-0.5310634541501515,-0.7102567646403186,-0.8287547046299951,-0.7172716583366551,-0.8045722361842147,-0.5278979387161662,-0.5881226760780704,-0.7548359856998493,-0.738086808561756,-0.691704480948971,-0.7645326587885595,-0.7749212414743739,-0.7274302859430664,-0.7735449659553008,-0.9093092326777412,-0.6593865179288185,-0.6449069217546478,-0.7729766771245331,-0.8331968092951978,-0.770955020469384,-0.6116003250088393,-0.49175594318622734,-0.9715710197437349,-0.8136809408396016,-0.6345620812094953,-0.5328820087374707,-0.6500824606841477,-0.8210819594550566,-0.8298233704852155,-0.805565746041408,-0.9703956114628791,-0.7379644959252407,-0.7282830339400864,-0.7490766539726408,-0.801560564242572,-0.8026293694561855,-0.6400827022200007,-0.7111896627237461,-0.6036349650685192,-0.8501843766644201,-0.7631734615687892,-0.8602884797691592,-0.736109110116452,-0.6222931411770657,-0.6617808809999478,-0.3664280670648765,-0.7396329732035806,-0.6859807179965379,-0.31253517834363387,-0.498213086369901,-0.72551835859869,0.012327238303093707,-0.023551327543136047
-3.1101452796799856,-0.5227049736626576,-0.8946341834114169,-0.7457127912647155,-0.7335912184159169,-0.7806236471142461,-0.8509104691632058,-0.7347210185034546,-0.5360251483397458,-0.7838665229899185,-0.7571928816332439,-0.7329560174324761,-0.7623323995938952,-0.7852781447853018,-0.6338966624083195,-0.8801464596970543,-0.7417186385945066,-0.7732005636157231,-0.7445483773986554,-0.7992393879435097,-0.7166051225996108,-0.8199490226090596,-0.8595663444123538,-0.5659374878836747,-0.6364900638555792,-0.6215995313709068,-0.7708852709743012,-0.7780245392166988,-0.8353308315693988,-0.6604452152391352,-0.9190970991633638,-0.5876983910984857,-0.663693704325055,-0.6437237754258612,-0.7004246392791325,-0.5605463454326854,-0.8250538832670107,-0.43259249860612053,-0.9246906959855955,-0.7330540463219622,-0.7009922391788921,-0.8112449573226718,-0.749659995204021,-0.8718258877218936,-0.92808872173754,-0.7410581173637059,-0.7958843557793822,-0.8736564580505742,-0.6523225389938178,-0.6772906149881961,-0.7972126612909629,-0.5328917337704645,-0.7116467588791162,-0.8288861744697572,-0.7176599155838028,-0.8045713456147902,-0.5293262400104192,-0.5886747142733665,-0.7551147234344636,-0.7388744408132981,-0.6937690459245608,-0.7651200272277047,-0.7754823197472642,-0.7280460177323907,-0.7740567358454452,-0.909816607424884,-0.6595306660667634,-0.64452781371631,-0.7727801758077139,-0.8337873331060055,-0.7711499191243697,-0.6125020436030044,-0.4925416140139752,-0.9714599695407966,-0.8137674137766722,-0.6358292347046959,-0.5346887701479385,-0.650998520219766,-0.8209280352457593,-0.8308336480919831,-0.8061566070705994,-0.9707604147586811,-0.7385413159932211,-0.7285634187545027,-0.7491485136219849,-0.8027858816311432,-0.802776349053658,-0.6413833326119375,-0.7122630166373829,-0.6055538425168603,-0.8506058628951418,-0.7638958015036547,-0.8607307144862233,-0.736478202753379,-0.6234004185196695,-0.6627152965833465,-0.36769971971330984,-0.7404489135394483,-0.6872874276715939,-0.3145589014532483,-0.49854489576472283,-0.7261150536768678,0.012292121412006429,-0.02984861702158214
-3.103855804898024,-0.5229385328443455,-0.8942706196009618,-0.7468378975912107,-0.733588203373521,-0.7819258769642581,-0.8508649508846102,-0.735702983579989,-0.5371396876419839,-0.7842751840633471,-0.7573629147287838,-0.7332140137757454,-0.7627232674351551,-0.785565124967761,-0.6345502414128433,-0.8803115209051977,-0.7416200382492398,-0.7740131306021661,-0.7446658917615792,-0.7994180876544286,-0.716918877343127,-0.820203005846572,-0.8603432469371672,-0.5677205917898676,-0.6364337522535906,-0.6229448237148638,-0.7709772178823929,-0.7779534155486074,-0.8352803683350316,-0.6616095449299303,-0.9197499337958334,-0.5893528530573281,-0.6645130114590204,-0.6448132205070658,-0.7006029777608428,-0.5614942900181625,-0.8249932864864971,-0.4339452730562127,-0.924820370133678,-0.7326787174002216,-0.7021229230863854,-0.8112489602879263,-0.7500075724023915,-0.8718277894200237,-0.9279207214798506,-0.7426485963074657,-0.7952403797003601,-0.8733111916026087,-0.6528152355002005,-0.6783141678329566,-0.7978178972609343,-0.534717123417071,-0.7130302418039146,-0.8290121313846339,-0.7180462467104155,-0.8045640317055839,-0.5307556867397837,-0.5892237644035558,-0.7553892427015644,-0.7396577464499815,-0.6958351843199903,-0.7657023071988539,-0.7760381639399434,-0.7286580852748105,-0.7745628744001818,-0.9103183510163034,-0.6596695495714928,-0.6441422833411921,-0.7725768383100021,-0.8343740066224757,-0.7713392200316322,-0.613402497133357,-0.49332789204450517,-0.9713417219228274,-0.8138485933017368,-0.637094474246714,-0.5364948892999696,-0.6519147286648417,-0.8207696548795822,-0.831838314149086,-0.8067430387704126,-0.9711177495135148,-0.7391148585537255,-0.728839523920884,-0.7492152461267095,-0.8040100517281958,-0.8029171416711933,-0.6426822394812737,-0.7133304650109985,-0.6074691550758338,-0.8510234118690517,-0.7646143022277483,-0.861167761531948,-0.7368436724206968,-0.6245061197735119,-0.6636482120926324,-0.36897806705403546,-0.7412606707647731,-0.6885916938322386,-0.31658148672471464,-0.4988753789372746,-0.7267078847324159,0.012257007144833269,-0.036144660683497656
-3.097566330116062,-0.5231682663957012,-0.8939003995335085,-0.7479600751198691,-0.7335794950018155,-0.783224748704997,-0.8508130062800069,-0.7366819608651733,-0.5382537432734985,-0.7846785055120236,-0.7575271272352543,-0.7334677594791292,-0.7631092915697913,-0.7858469458083616,-0.6352008000830833,-0.880470546957995,-0.7415160162126717,-0.7748215597534913,-0.7447778618378125,-0.7995909639053622,-0.7172281412896877,-0.8204507973832651,-0.8611160975261289,-0.5695048257551939,-0.6363730343017922,-0.6242885719709618,-0.7710634618101974,-0.7778763383788639,-0.8352234443496052,-0.6627705897845486,-0.9203977163594841,-0.5910064718062872,-0.6653296997703291,-0.6459020281702456,-0.7007765232167426,-0.5624405377532868,-0.8249256540975672,-0.43530258147167744,-0.9249434661222893,-0.7322968449656427,-0.703251413243096,-0.8112468598387936,-0.7503497315258982,-0.871824087567393,-0.9277463723528533,-0.744236540796757,-0.7945889071951086,-0.8729587474711068,-0.6533046757901814,-0.679335769009525,-0.7984194709132121,-0.5365395454740991,-0.7144071410448771,-0.8291325561877367,-0.718430643215228,-0.8045502715228631,-0.5321862405946466,-0.5897697973064034,-0.755659521315924,-0.7404366861876902,-0.6979028306635876,-0.7662794623605703,-0.7765887359639639,-0.7292664520398672,-0.7750633448242431,-0.9108144270217682,-0.6598031452985247,-0.643750315714504,-0.7723666453149871,-0.8349568036666012,-0.7715228962353303,-0.6143016565232692,-0.4941147536204164,-0.9712162562571844,-0.813924452979906,-0.6383577526109163,-0.5383003022407574,-0.6528310663292696,-0.8206068130056015,-0.8328373130373087,-0.8073250043658794,-0.9714675791359496,-0.7396850962384794,-0.7291113308159997,-0.7492768245854722,-0.8052330236446389,-0.8030517228468212,-0.6439793817614382,-0.7143919296185006,-0.6093808226304696,-0.8514369962762457,-0.7653289306396273,-0.8615995902750915,-0.7372054938677661,-0.6256102132823324,-0.6645795994050515,-0.3702630968725864,-0.742068202195082,-0.6898934728293642,-0.3186028811271607,-0.4992045452926136,-0.7272968204178188,0.012221898666638831,-0.04243920947400077
-3.0912768553341006,-0.5233941407981849,-0.8935235176652445,-0.7490792758066728,-0.7335650766691162,-0.7845202078386391,-0.8507546145485769,-0.7376579132184342,-0.5393672793787703,-0.7850764563684848,-0.7576854954625507,-0.7337172390788437,-0.7634904465577963,-0.78612358562553,-0.6358483009800524,-0.8806235119188563,-0.7414065581429594,-0.7756258154810864,-0.7448842641446022,-0.7997579908516163,-0.7175328944448434,-0.8206923643560162,-0.8618848627831446,-0.5712901378068908,-0.6363078959070148,-0.625630728130051,-0.7711439818019156,-0.7777932945967097,-0.8351600391315145,-0.6639282922878227,-0.9210404163965756,-0.5926591930851359,-0.6661437285807696,-0.646990160732473,-0.7009452532149207,-0.5633850530486197,-0.8248509632420621,-0.4366644031201849,-0.9250599601084226,-0.7319084182554983,-0.7043776749344824,-0.8112386388072155,-0.7506864422159713,-0.871814771611866,-0.9275656629270206,-0.7458218881430908,-0.7939299314514678,-0.8725991127743925,-0.6537908363092173,-0.6803553722921454,-0.799017360283826,-0.5383589192393913,-0.7157773843671925,-0.8292474296823026,-0.7188130965776987,-0.8045300421131402,-0.5336178616403644,-0.5903127837628392,-0.75592553690839,-0.741211220622544,-0.6999719180891004,-0.7668514562146022,-0.7771339975843436,-0.7298710814920282,-0.7755581098533483,-0.911304798777195,-0.6599314301293941,-0.6433518959906462,-0.7721495775946843,-0.8355356977350636,-0.7717009206185061,-0.6151994923879867,-0.4949021742832949,-0.9710835523769112,-0.8139949660966248,-0.6396190222321907,-0.5401049441594429,-0.6537475148232484,-0.8204395043657083,-0.8338305896734667,-0.807902466395258,-0.9718098670889456,-0.7402520014112551,-0.7293788207095522,-0.7493332230470694,-0.8064547458431334,-0.8031800680605179,-0.645274717946505,-0.7154473322391046,-0.6112887647475895,-0.8518465879685078,-0.7660396533785894,-0.8620261696463029,-0.7375636415985621,-0.626712667468186,-0.6655094306105371,-0.3715547988343108,-0.7428714644492272,-0.6911927211023234,-0.3206230304343214,-0.49953240479599015,-0.7278818292048475,0.012186799180282672,-0.04873201439734145
-3.084987380552139,-0.5236161223404978,-0.8931399686420243,-0.7501954508508297,-0.733544931765139,-0.7858121995759085,-0.8506897548798518,-0.7386308032859243,-0.5404802582854054,-0.7854690054196046,-0.757837995617568,-0.7339624371297171,-0.7638667069660114,-0.7863950226289117,-0.6364927062958252,-0.8807703896869225,-0.7412916501080415,-0.7764258620323466,-0.7449850750751031,-0.7999191424219536,-0.7178331166483245,-0.8209276738634441,-0.8626495087161695,-0.5730764757691181,-0.6362383228834674,-0.6269712438898748,-0.771218756962,-0.7777042711706134,-0.8350901319677011,-0.6650825941191266,-0.9216780032228312,-0.594310962375842,-0.6669550567503928,-0.648077580078983,-0.7011091450730038,-0.564327800651302,-0.8247691911191325,-0.43803071653005554,-0.9251698282623695,-0.7315134265997154,-0.7055016724470394,-0.8112242801815696,-0.7510176739634085,-0.871799831037161,-0.9273785817626099,-0.7474045757860067,-0.7932634457301446,-0.8722322747283232,-0.6542736930245949,-0.6813729310043816,-0.7996115440641848,-0.5401751632327427,-0.7171408991788192,-0.8293567326707472,-0.7191935982272739,-0.8045033205234038,-0.5350505087525782,-0.590852694205365,-0.7561872669524894,-0.7419813103534714,-0.7020423785512505,-0.7674182521882824,-0.7776739104493149,-0.7304719374711198,-0.7760471321527893,-0.9117894294854672,-0.660054380934007,-0.6429470094927117,-0.7719256159723766,-0.8361106618652221,-0.7718732659165648,-0.6160959751480249,-0.4956901293778071,-0.970943590217151,-0.8140601058719988,-0.6408782351917389,-0.5419087504842733,-0.6546640557219902,-0.8202677233087948,-0.8348180887753152,-0.8084753871832472,-0.9721445768212094,-0.740815546337882,-0.7296419748788551,-0.7493844147493541,-0.8076751658535108,-0.8033021528574112,-0.6465682059980145,-0.7164965949996184,-0.6131929007512871,-0.8522521583729133,-0.7667464366588239,-0.8624474682165131,-0.7379180898769034,-0.6278134517247088,-0.6664376774706237,-0.37285316399451357,-0.7436704139762524,-0.6924893949578956,-0.3226418772017547,-0.49985896734576013,-0.7284628793629063,0.01215171192836924,-0.05502282652675384
